Document_No,Company_Code,Account,Amount,Doc_Type,Posting_Key,User_ID
100000,3000,500000,38210570.964833185,SA,31,U001
100001,1000,400000,3910096.3841363927,KR,31,U002
100002,3000,500000,3810431.9351709876,SA,50,U002
100003,3000,400000,3472792.3971536243,KR,40,U001
100004,1000,500000,5506366.266087991,SA,40,U001
100005,1000,500000,7046184.735415195,KR,31,U003
100006,3000,400000,5348190.509748105,SA,50,U002
100007,2000,500000,6337637.505603473,KR,40,U003
100008,3000,400001,5906858.632631216,KR,40,U002
100009,3000,400000,36682649.53680585,SA,31,U001
100010,3000,400001,6012252.784792501,SA,31,U003
100011,3000,400000,4617140.246789988,KR,40,U002
100012,1000,500000,4633033.704369313,SA,31,U002
100013,3000,500000,4833126.139250952,KR,40,U001
100014,2000,500000,4871041.582138296,KR,50,U001
100015,1000,400000,5529095.570548918,KR,31,U002
100016,2000,400001,4463290.611287355,SA,31,U001
100017,2000,400001,5711282.2228663815,KR,50,U001
100018,2000,400000,5699795.2664251765,KR,40,U003
100019,2000,400000,5274370.825955588,KR,40,U002
100020,1000,400001,6551689.526885956,KR,31,U003
100021,1000,400001,6029914.118926647,SA,40,U001
100022,2000,400001,5855783.432160372,SA,40,U002
100023,2000,400001,5052922.699634601,KR,50,U001
100024,1000,400000,5281412.910251461,SA,50,U001
100025,1000,400000,5419045.890470203,SA,50,U002
100026,1000,500000,5010593.098822084,KR,31,U001
100027,3000,400001,4699544.431753223,SA,50,U003
100028,3000,500000,3075429.805698951,SA,50,U002
100029,3000,400000,5574212.327299858,SA,40,U001
100030,2000,400000,5833157.773506683,SA,50,U001
100031,3000,500000,4071104.915074531,SA,31,U001
100032,2000,400001,5484134.919776393,SA,50,U002
100033,2000,400001,4526778.65734598,KR,31,U003
100034,3000,400001,4706776.654074341,SA,40,U001
100035,2000,400001,6048608.4218906835,KR,40,U001
100036,3000,500000,4207492.487828789,KR,50,U001
100037,3000,500000,4206281.769045424,KR,40,U002
100038,1000,400000,6443867.492515199,SA,50,U001
100039,3000,400001,4883554.641170893,SA,40,U001
100040,1000,400001,47977891.79667883,KR,31,U001
100041,3000,400001,3721037.7105368525,KR,40,U002
100042,3000,500000,3785117.3843273176,KR,50,U003
100043,1000,400001,4269644.387537263,SA,50,U002
100044,1000,500000,4614831.3787738485,SA,50,U003
100045,3000,400001,3877370.72267751,SA,31,U003
100046,2000,400001,5295437.181144,KR,40,U002
100047,1000,400000,5347675.334925425,SA,50,U001
100048,2000,400001,4281485.69772917,SA,31,U003
100049,2000,400001,4345121.040487358,KR,31,U001
100050,2000,400000,35604598.823350005,SA,31,U003
100051,1000,500000,4068091.360885567,KR,40,U001
100052,2000,500000,2683553.840017666,SA,40,U001
